review_set,review_id,utterance,previous_turn,next_turn,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
gold,gold-0121,Can you imagine that,Oh .,Oh I see.,,,,,,,pending,
gold,gold-0122,"Do you like spicy,",Wow . Thailand. O K .,"Yes. I like spicy ,",,,,,,,pending,
gold,gold-0123,Should I say her name too,"Ah . O K. Can you tell me er can you describe one er uh of your friends in the dance club, maybe a close friend of yours?","Oh it doesn't matter. Er "" she "".",,,,,,,pending,
gold,gold-0124,Many question from foreign investors,"Hum . Yes. So, do you want to work in a foreign country in the future?","So, what do you like most about your job?",,,,,,,pending,
gold,gold-0125,do you need to prepare,"Yeah, I'm free.",I can meet you at er six six thirty.,,,,,,,pending,
gold,gold-0126,"One day last week, my wante my mother was looking in the refrigerator and she saw that there were no mm no food in there","I want you to do. This time, I want you to make a short story using these six pictures. O K? This happened last week. And make a very short story using all these six pictures starting from here, ending here. O K? And start your story with this phrase, ""One day last week"". That can be anybody.",Hm . O K .,,,,,,,pending,
gold,gold-0127,"And I'm I'm the marketing managers, and work with three brand managers erm in a area of the tea black tea,",Right. O K. What's your responsibility at work?,Hum .,,,,,,,pending,
gold,gold-0128,"and pretty huge house in the United States, I guess",Um-huh .,Un .,,,,,,,pending,
gold,gold-0129,"Ah ah I go to England, France, Italy, Doitsu , Berugi , Oranda",Where have you been?,"Wow . So, tell me about the best country you've ever been to.",,,,,,,pending,
gold,gold-0130,uh so I was like I was kind of erm looking forward to go,Ohh .,Umm .,,,,,,,pending,
gold,gold-0131,Err this place err looks looks like calm,Uh-huh .,Uh-huh .,,,,,,,pending,
gold,gold-0132,"I I like reading books, listening music, singing songs and having a sleep",Uhu .,. All right. So tell me about your favorite book.,,,,,,,pending,
gold,gold-0133,The girl eat ice cream,"Now, I'm erm let's do this. Please make a story with these pictures. And start with ""One day last week,"" O K?","Um . O K. Thank you, XXX02 .",,,,,,,pending,
gold,gold-0134,I guess that's about it,Mh-hmm .,O K.,,,,,,,pending,
gold,gold-0135,it's a green tie,Um .,Um .,,,,,,,pending,
gold,gold-0136,"Great, it sounds good. Can you tell me? Yes. And can you tell me who stars in the film?",should i book the tickets for this time?,"sure i can do that. rami balek, brian may, and ben hardy star in the film.",,,,,,,pending,
gold,gold-0137,That's quite alright with me. The obscore atmosphere you described at the second location sounds like a wonderful experience. Would you be able to reserve a table for me some time tonight for my party of three?,It looks like they do not accept american express.,"certainly, did you have a specific time in mind for tonight?",,,,,,,pending,
gold,gold-0138,"Okay, fantastic. I'll choose the most economical option of the three options. What is the most economical option on the price per plate option?",it's about 20 dollars a plate.,"Fantastic. Can I go with that one? Can I have phone number, please?",,,,,,,pending,
gold,gold-0139,"And also, could you please make sure that this the restaurant has a kids' menu option? I would prefer that they have a rating of four stars and up, and a buffet for lunch would be great.",I am at the Arden Fair mall in Sacramento.,Sure thing. I'll take a moment to look for the best options. Please be patient.,,,,,,,pending,
gold,gold-0140,"Okay, that's great. Could you tell me what the price range is for both restaurants?","sure, kusakabe is rated at 4.8 out of 5 stars and wako japanese restaurant is rated at 4.7 out of 5 stars.","sure, they are both rated at 4 out of 5 stars in terms of price.",,,,,,,pending,
gold,gold-0141,"Yeah, that's great. I want to pick up the order, how long will it take?","great, your total will be $80, is that ok?","would you like to dine-in, pick-up, or have your order delivered?",,,,,,,pending,
gold,gold-0142,"Okay, that sounds great. Could you give me the phone number for the restaurant?",Less than 30 dollars for 2 people typically.,Sure thing one moment.,,,,,,,pending,
gold,gold-0143,Awesome. Can you send them to my to my mobile as a text message?,sure! you're all set. 2 tickets for the upside at 9:55pm at edwards metro pointe 12.,absolutely! you will receive your tickets via text message.,,,,,,,pending,
gold,gold-0144,"Great, would you mind giving me the phone number for Gama Singh?",They are a bit busy but there is no wait time.,"Sure, it's 9 1 6.",,,,,,,pending,
gold,gold-0145,"Oh, that's great. Do you know if they have an all-you-can-eat option?",Starbelly has a patio.,"no, they do not have an all you can eat buffet.",,,,,,,pending,
gold,gold-0146,"Fantastic. Can I go with that one? Can I have phone number, please?","Okay, fantastic. I'll choose the most economical option of the three options. What is the most economical option on the price per plate option?",sure it's (916) 448-3481.,,,,,,,pending,
gold,gold-0147,Great! Can you get me a ticket for that show?,"Is AMC, Champaign playing it, as well?",Thank you.,,,,,,,pending,
gold,gold-0148,"Awesome, and does the other place sell wine by the bottle?","yes, Rose's Cafe has an eggplant parmesan which is popular amongst their customer reviewers.","yes, piccino has wine options by the glass and bottle.",,,,,,,pending,
gold,gold-0149,"Yeah, that's great. Could you get four tickets?","the next showing is at 1:50pm, is that ok?","great, your total will be $48, is that ok?",,,,,,,pending,
gold,gold-0150,Great. Does the restaurant have meatballs? Does the restaurant have linguine?,There aren't any available at 7. How about 8?,Great. that's 1 person at 8 pm for Cotogna.,,,,,,,pending,
gold,gold-0151,"Great. And a second one, do they have guacamole on their menu?","They both sound good. Could you tell me if Don Pisto's, is there required attire?",8:30 party of four?,,,,,,,pending,
gold,gold-0152,"Okay, great. How long do you think he'll take?","Sure, one Venti Caramel Brulée Latte.",What milk do you like for the drink?,,,,,,,pending,
gold,gold-0153,"That sounds great. I would like three tickets, please.",I have a showing at 3:45 at the alamo draft house.,Great. Let me book those for you. It'll take a moment.,,,,,,,pending,
gold,gold-0154,Great. Do they have any specials?,"Hakkasan, is a Asian fusion restaurant just a block down that is open for dinner.",They seem to specialize in Cantonese cuisine.,,,,,,,pending,
gold,gold-0155,Great. And are they currently busy?,"yes, they do have on site parking.","no, they are not currently busy. they have no wait time.",,,,,,,pending,
gold,gold-0156,I am doing great. How are you?,"hi, how are you today?",I'd like to order some pizzas from a new pizzeria called Bella Luna.,,,,,,,pending,
gold,gold-0157,"Okay. Yes, please. Great, thank you.","sure, 2 adult tickets for the 7:40 showing of stan and olli's at santiko's embassy. that'll be $24.",would u like me to charge the card on file now.,,,,,,,pending,
gold,gold-0158,"Thank you very much, you have a great wonderful day. I really enjoyed talking to you.","Oh, that's great. That's pretty cheap like tall coffee.",It is! no problem!,,,,,,,pending,
gold,gold-0159,Awesome. Thank you. Thank you. I'll go there now.,your receipt will be texted to you and your drink will be ready in 5 minutes.,can i help you with anything else?,,,,,,,pending,
gold,gold-0160,"Okay, that sounds great. I know where that Starbucks is.","I can give you the address. It's 333 Nathan lane, across from the Starbucks.",Great. And it's going to be 89 dollars to inspect your car but that goes towards the total repair cost.,,,,,,,pending,
gold,gold-0161,Great. Thank you. Nope. That'll be it.,did you need anything else?,"thanks, bye.",,,,,,,pending,
gold,gold-0162,"Oh, that's great. Thank you so much.","perfect, your pizzas will be ready in 30 minutes.",Have a great day.,,,,,,,pending,
gold,gold-0163,Great. Thank you very much.,Enjoy the movie.,you're welcome! take care.,,,,,,,pending,
gold,gold-0164,"Yeah, that sounds great.",looks like they're booked for the week and the next available is this monday at 8:30am. does that work for you?,"and before i confirm the details, please say ""yes"" if you understand and agree to the $89 inspection fee.",,,,,,,pending,
gold,gold-0165,That is absolutely correct.,"ok, i have booked 2 tickets to watch the upside at century arden 14 at 9:45 tonight, is that correct?","ok, your tickets and receipt will be texted to you.",,,,,,,pending,
gold,gold-0166,Great. That's all for me. Thank you.,"ok, your coffee will be ready for pickup soon at the Starbucks on route 40.",Great. That's all for me. Thank you.,,,,,,,pending,
gold,gold-0167,Alright. Awesome. Thank you.,the phone number for chando's tacos is (916) 641-8226.,you are welcome.,,,,,,,pending,
gold,gold-0168,"The dark at the first location sound divine. Could you please book me the next available dinner reservation at that location for my party of eight, please?",dinner begins at 5pm at e& o kitchen and bar.,i sure will. the next available reservation time for 8 people at hakkasan will be at 6pm tonight. should i book this time slot now?,,,,,,,pending,
gold,gold-0169,Hey. Can you help me place a Starbucks order from the Starbucks on Walnut Street in Philadelphia?,"hi, how can i help you?","sure, what would you like to order?",,,,,,,pending,
gold,gold-0170,"On one of them, can I get Canadian bacon and pineapple and the other one, can I get spinach deluxe but hold the onions on that one? No onions.","sure, what toppings?","so your order is: 2 small gluten free pizzas. one with canadian bacon and pineapple. the second is spinach delux with onions, is this correct?",,,,,,,pending,
gold,gold-0171,I live in New York City uptown. What is the best Starbucks near me?,I would like to order something from the menu of Starbucks.,In New York City?,,,,,,,pending,
gold,gold-0172,"Yeah, that sounds good. Can you book two tickets for that?",is that okay?,I certainly can.,,,,,,,pending,
gold,gold-0173,Can I get a chicken barbecue with gluten-free crust?,"sorry, bella luna does not have a korean bbq option. did you want other toppings?",you got it.,,,,,,,pending,
gold,gold-0174,And what kind of ride is this going to be?,the trip should take about 12 minutes.,it's an uberxl.,,,,,,,pending,
gold,gold-0175,"All right, one quick question one last quick question, who directed Glass?","ok, i have booked 1 ticket to see Glass at 2:30, your ticket and receipt will be texted to you.",let me check that for you.,,,,,,,pending,
gold,gold-0176,"Okay. Could you tell me on the first one, do they have parking nearby?","The next one I found is SHanghai Garden which boasts Casual Chinese restaurant providing an assortment of familiar dishes, including vegetarian options. and a 4.0 rating.",Yes they do.,,,,,,,pending,
gold,gold-0177,Could you tell me who directed the movie?,anything else i can help with?,"yeah, that would be james wan.",,,,,,,pending,
gold,gold-0178,"Hi, could you help me with placing an order at Starbucks?","hello, how can i help you today?",i sure can. what did you want to order?,,,,,,,pending,
gold,gold-0179,Am I able to order take out from Don Pistos?,nopalito generally has a larger traffic flow from 7 to 8pm.,"yes, you can order take out from don pistos.",,,,,,,pending,
gold,gold-0180,Does Buckhorn Grill have seating for children now?,second choice?,Does the first choice have a vegetarian menu or no?,,,,,,,pending,
gold,gold-0181,Could you tell me what their Yelp reviews are?,"Oh, okay. And",they are both rated at 4.4 out of 5 stars.,,,,,,,pending,
gold,gold-0182,"Cool. Can I get a side of fries, then?",it looks like you can add a side for free.,"sure, i can add that to your order.",,,,,,,pending,
gold,gold-0183,"Oh, okay. So, then I should be out around Let's see 12:55. So, like 2:00, almost 3:00, right?","Oh, okay. So, then I should be out around Let's see 12:55. So, like 2:00, almost 3:00, right?","That sounds about right, except one problem, that showtime is sold out. should I pick another one or cancel the order?",,,,,,,pending,
gold,gold-0184,"Hi. I'd like to place a Starbucks pickup order, please.","hi, how can i help you?","sure, what would you like to order?",,,,,,,pending,
gold,gold-0185,"All right. Let me Let me book a reservation for Akiko, please.",you can order carry out and even have your food delivered however there is no outdoor seating.,"ok, when would you like to book your reservation?",,,,,,,pending,
gold,gold-0186,Could you please make an appointment?,"aww, sorry to hear.",would you like to make an appointment at intelligent auto imports?,,,,,,,pending,
gold,gold-0187,Can you book it?,correct. the total for 2 tickets is $24.49.,sure! you're all set. 2 tickets for the upside at 9:55pm at edwards metro pointe 12.,,,,,,,pending,
gold,gold-0188,Could I have a cinnamon dolce latte?,"Great! yes, what would you like?","Sure, which size would you like?",,,,,,,pending,
gold,gold-0189,Then what did you learn yesterday?,I believe so.,I learned How to schedule a ride?,,,,,,,pending,
gold,gold-0190,It's going to be $2.40 for what?,"Alright, that's going to be an extra $2.40 for premium okay?",Premium toppings.,,,,,,,pending,
gold,gold-0191,Okay. What's the next option?,it is rated at 4 out of 5 stars in terms of price.,cala is rated at 3 out of 5 stars in terms of price.,,,,,,,pending,
gold,gold-0192,Who stars in the film?,While I book that do you need anything else?,"Chris pratt, Jason Momoa, and Margot Robbie.",,,,,,,pending,
gold,gold-0193,Okay. How long will the trip be?,got it. your fare estimate is $9.49.,the trip should take 11 minutes.,,,,,,,pending,
gold,gold-0194,"Yeah, please add a gluten-free crust.","So that's 4 large veggie pizzas, anything else?","Great, with the gluten free crust your total is $110.66.",,,,,,,pending,
gold,gold-0195,"All right, perfect. Thank you very much for your help, I really appreciate it.",4 7 9 4.,you're very welcome. i appreciate your kindness.,,,,,,,pending,
gold,gold-0196,On Whittier Boulevard in the city of Whittier.,Got it. So that's a tall caffe latte from starbucks. Can you tell me which one you want to pick it up from?,Got it. I've placed your order with whittier blvd's starbucks. It'll be ready soon.,,,,,,,pending,
gold,gold-0197,Yes. I'm look I really need a restaurant that serves gluten-free food as well.,Did you have any other factors to keep in mind?,Alright one moment.,,,,,,,pending,
gold,gold-0198,"Sure I am in Warrington, Pennsylvania.","sure, please tell me what city and state you're in and i'll find theaters near you.",are you near the regal cinemas warrington crossing 22?,,,,,,,pending,
gold,gold-0199,I need to make a change.,"great, your total will be $72, is that ok?","ok, what would you like to change?",,,,,,,pending,
gold,gold-0200,"It's 1543 North Kingsbury Street, Chicago, IL 64642.","Yes, I'm sorry.","Aha, there it is, One moment.",,,,,,,pending,
