annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0060,D,"Actually, I hate the the crowded train, so if I can get up early, earlier than , uum I can take more earlier train But I , so, yeah, very difficult",,,,,,,pending,
calibration,dev,calibration-0016,D,Digital pen is horrible.,,,,,,,pending,
calibration,dev,calibration-0037,D,Um then what are there any other options that you can do,,,,,,,pending,
calibration,dev,calibration-0082,D,Are we all good to go? Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0066,D,What's the estimated time of arrival?,,,,,,,pending,
calibration,dev,calibration-0035,D,Yeah So I I love red red color So do you have any red sweater,,,,,,,pending,
calibration,dev,calibration-0024,D,which make it uh like new also.,,,,,,,pending,
calibration,dev,calibration-0023,D,"If we try to tell people it has too many great features, um the consumer just gets confused and we don't get anywhere.",,,,,,,pending,
calibration,dev,calibration-0018,D,Um there are two target audi audiences,,,,,,,pending,
calibration,dev,calibration-0026,D,or shall we leave that for now?,,,,,,,pending,
calibration,dev,calibration-0068,D,Does Miss Saigon serve alcoholic beverages?,,,,,,,pending,
calibration,dev,calibration-0019,D,So that would be great for that.,,,,,,,pending,
calibration,dev,calibration-0054,D,So they they always ask me to from simple question or um very difficult question I do I don't know,,,,,,,pending,
calibration,dev,calibration-0086,D,"Yes, two tickets, please.",,,,,,,pending,
calibration,dev,calibration-0045,D,then Ken hit the back of the motor cycle and the man who was on the motor cycle was very angry about that And they both argued,,,,,,,pending,
calibration,dev,calibration-0017,D,I've got some other things,,,,,,,pending,
calibration,dev,calibration-0022,D,so we can save on the batteries,,,,,,,pending,
calibration,dev,calibration-0044,D,I think so I definitely,,,,,,,pending,
calibration,dev,calibration-0077,D,I'm doing great. How are you doing?,,,,,,,pending,
calibration,dev,calibration-0032,D,What is what do you recommend to me to souvenir to my friends,,,,,,,pending,
calibration,dev,calibration-0025,D,"Maybe we'll discuss this later, no?",,,,,,,pending,
calibration,dev,calibration-0062,D,"Great, thank you. Please process my order.",,,,,,,pending,
calibration,dev,calibration-0087,D,Great. Could I get a black and white mocha?,,,,,,,pending,
calibration,dev,calibration-0043,D,We have a uh great location we live in great location to see and to take a picture,,,,,,,pending,
calibration,dev,calibration-0051,D,And what time is it convenient for you,,,,,,,pending,
calibration,dev,calibration-0075,D,Hi. Could you help me with setting up an appointment at Intelligent auto imports?,,,,,,,pending,
calibration,dev,calibration-0061,D,That definitely sounds good. Could I make a reservation for that one?,,,,,,,pending,
