annotation_batch,dataset_partition,item_id,reviewer_slot,utterance,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
calibration,dev,calibration-0041,A,"Also, I I I like to spent or ah no no no no, I I I love shopping",,,,,,,pending,
calibration,dev,calibration-0030,A,It's definitely significantly harder once you are doing it.,,,,,,,pending,
calibration,dev,calibration-0031,A,"urm so ee when I watch the movie, ee I am excited",,,,,,,pending,
calibration,dev,calibration-0065,A,"Okay. Do I need to reserve certain seats, or is this just open seating?",,,,,,,pending,
calibration,dev,calibration-0010,A,which is something that definitely appeals to younger people.,,,,,,,pending,
calibration,dev,calibration-0002,A,"It's definitely channel, volume, power.",,,,,,,pending,
calibration,dev,calibration-0029,A,Supposed to have a great memory,,,,,,,pending,
calibration,dev,calibration-0032,A,What is what do you recommend to me to souvenir to my friends,,,,,,,pending,
calibration,dev,calibration-0073,A,"No, could you please give me the address?",,,,,,,pending,
calibration,dev,calibration-0027,A,So uh any any thoughts?,,,,,,,pending,
calibration,dev,calibration-0066,A,What's the estimated time of arrival?,,,,,,,pending,
calibration,dev,calibration-0036,A,"already take trains ev everyday in weekdays So, I hate",,,,,,,pending,
calibration,dev,calibration-0007,A,and I get to do another fantastic PowerPoint presentation.,,,,,,,pending,
calibration,dev,calibration-0042,A,"I'll look around other corners, so, would you please negotiate your manager",,,,,,,pending,
calibration,dev,calibration-0006,A,Do we really need that?,,,,,,,pending,
calibration,dev,calibration-0059,A,But um luxurious food is very uum expensive for me,,,,,,,pending,
calibration,dev,calibration-0040,A,"It's not great like Japan, or eh it's a small city",,,,,,,pending,
calibration,dev,calibration-0037,A,Um then what are there any other options that you can do,,,,,,,pending,
calibration,dev,calibration-0076,A,Yes. Who directed the movie?,,,,,,,pending,
calibration,dev,calibration-0061,A,That definitely sounds good. Could I make a reservation for that one?,,,,,,,pending,
calibration,dev,calibration-0050,A,"So, what time do you want to go there",,,,,,,pending,
calibration,dev,calibration-0005,A,"It was, wasn't it?",,,,,,,pending,
calibration,dev,calibration-0069,A,Can you repeat the address to me?,,,,,,,pending,
calibration,dev,calibration-0008,A,then we'll come back to the chip I suppose.,,,,,,,pending,
calibration,dev,calibration-0053,A,What time is best for you,,,,,,,pending,
calibration,dev,calibration-0043,A,We have a uh great location we live in great location to see and to take a picture,,,,,,,pending,
calibration,dev,calibration-0072,A,I'm going to eat at Le Beau today. Can I get their phone number?,,,,,,,pending,
calibration,dev,calibration-0081,A,Can you book me a ticket for The Kid Who Would Be King?,,,,,,,pending,
calibration,dev,calibration-0035,A,Yeah So I I love red red color So do you have any red sweater,,,,,,,pending,
calibration,dev,calibration-0055,A,We love we love my our car,,,,,,,pending,
calibration,dev,calibration-0056,A,"Oh great And you know, uum on December first,",,,,,,,pending,
calibration,dev,calibration-0088,A,Have a great day. Bye.,,,,,,,pending,
calibration,dev,calibration-0020,A,you think it won't cost an Not a lot for us?,,,,,,,pending,
calibration,dev,calibration-0080,A,Thank you so much for your help. I appreciate that. Have a wonderful weekend.,,,,,,,pending,
calibration,dev,calibration-0063,A,Awesome. Thank you so much.,,,,,,,pending,
calibration,dev,calibration-0001,A,that you can usually do that with uh either a old old remote control if they really hate that thing,,,,,,,pending,
calibration,dev,calibration-0003,A,"Yeah, definitely. Just bring more designs on the market.",,,,,,,pending,
calibration,dev,calibration-0074,A,"Nope, that will be all. Oh. Oh, yes. Actually, can you tell me who stars in the film?",,,,,,,pending,
calibration,dev,calibration-0046,A,I I hate choice of mm products,,,,,,,pending,
calibration,dev,calibration-0060,A,"Actually, I hate the the crowded train, so if I can get up early, earlier than , uum I can take more earlier train But I , so, yeah, very difficult",,,,,,,pending,
calibration,dev,calibration-0011,A,And and we're gonna make it we're gonna win mind-share by uh either being a fantastic product,,,,,,,pending,
calibration,dev,calibration-0009,A,but what if it was kind of uh a stylised banana?,,,,,,,pending,
calibration,dev,calibration-0048,A,"And I'm really sorry but if there's another chance to go, then I would definitely want to go, too",,,,,,,pending,
calibration,dev,calibration-0086,A,"Yes, two tickets, please.",,,,,,,pending,
calibration,dev,calibration-0052,A,And actually the flower is er always that there are a lot of flowers in Bali Island So the smell is really nice So I love to be in Bali,,,,,,,pending,
calibration,dev,calibration-0034,A,Oh I like it I love it,,,,,,,pending,
calibration,dev,calibration-0019,A,So that would be great for that.,,,,,,,pending,
calibration,dev,calibration-0039,A,I love Ca Canada very much,,,,,,,pending,
calibration,dev,calibration-0018,A,Um there are two target audi audiences,,,,,,,pending,
calibration,dev,calibration-0068,A,Does Miss Saigon serve alcoholic beverages?,,,,,,,pending,
calibration,dev,calibration-0067,A,"Great, do they have a reservation?",,,,,,,pending,
calibration,dev,calibration-0064,A,"That sounds great. Can we please go start making a to book a reservation, please?",,,,,,,pending,
calibration,dev,calibration-0083,A,"Oh, that's great. And could you tell me if the restaurants have serve alcohol?",,,,,,,pending,
calibration,dev,calibration-0090,A,Yeah. How long does the trip take normally?,,,,,,,pending,
calibration,dev,calibration-0026,A,or shall we leave that for now?,,,,,,,pending,
calibration,dev,calibration-0071,A,Can we do tomorrow in the afternoon?,,,,,,,pending,
calibration,dev,calibration-0057,A,And they er he mm he has a computer and and er so great stereo set,,,,,,,pending,
calibration,dev,calibration-0014,A,"Yes. Yes, yes this is Yes definitely a horse. Yes.",,,,,,,pending,
calibration,dev,calibration-0077,A,I'm doing great. How are you doing?,,,,,,,pending,
calibration,dev,calibration-0004,A,"But um, I think the logo would definitely be recognisable.",,,,,,,pending,
calibration,dev,calibration-0025,A,"Maybe we'll discuss this later, no?",,,,,,,pending,
