row_id,utterance,draft_Formality,draft_Energy,draft_Intimacy,draft_Humor,draft_Curiosity,reviewed_Formality,reviewed_Energy,reviewed_Intimacy,reviewed_Humor,reviewed_Curiosity,style,sample_bucket,notes,source_line,label_status
44,Do you have any schedule that day,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",107636,human_reviewed
45,May I help you,63,24,32,6,74,63,24,32,6,74,learner_question,question,"draft label for human review: question, question/request signal, polite spoken form",126434,human_reviewed
46,Um where may I er where can I buy the ticket,46,31,34,6,66,46,31,34,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",78061,human_reviewed
47,"So, er how about mm meeting at six,",33,37,24,6,66,33,37,24,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",230,human_reviewed
48,er do you know Ikefukurou,36,27,22,6,66,36,27,22,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",101176,human_reviewed
49,How do you do I say denchi in English,36,31,32,6,84,36,31,32,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",13798,human_reviewed
50,What kind of situation,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",12915,human_reviewed
51,Could you please tell me why this happened,56,31,34,6,92,56,31,34,6,92,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",31225,human_reviewed
52,Er could you could you say again,46,31,26,6,66,46,31,26,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",43123,human_reviewed
53,"Do you know er the movie of ah ""Ocean's Eleven""",36,31,24,10,84,36,31,24,10,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",106321,human_reviewed
54,Is it O K to change,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",94627,human_reviewed
55,Oh and do you have um what kind of hotels do you have,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",62340,human_reviewed
56,"""How would you pay",53,24,24,6,84,53,24,24,6,84,learner_question,question,"draft label for human review: question, question/request signal",87233,human_reviewed
57,Do you sometimes,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",109274,human_reviewed
58,Um may I have this,46,27,32,6,66,46,27,32,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",55283,human_reviewed
59,Where do you do you want to watch,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",82532,human_reviewed
60,Is it O K,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",53786,human_reviewed
61,What do I think of them,36,31,32,6,84,36,31,32,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",129177,human_reviewed
62,What are they like,43,32,22,6,84,43,32,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",12034,human_reviewed
63,Do you do you do you know Yurakucho station,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",108127,human_reviewed
64,Do you have it,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",46,human_reviewed
65,should I take,43,24,30,6,84,43,24,30,6,84,learner_question,question,"draft label for human review: question, question/request signal",63843,human_reviewed
66,Erm what kind of train,36,27,22,6,66,36,27,22,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",95185,human_reviewed
67,Do you usually do,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",64364,human_reviewed
68,Do I have to go from one to six,36,31,32,6,84,36,31,32,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",5896,human_reviewed
69,Is that cheapest,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",116486,human_reviewed
70,But well how could help it,46,31,26,6,84,46,31,26,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",131880,human_reviewed
71,Are there rich people,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",21045,human_reviewed
72,So is that ur is that convenient for you,36,35,24,6,84,36,35,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",112281,human_reviewed
73,What is the mm fastest train,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",44428,human_reviewed
74,Can I make a new one,53,28,32,6,92,53,28,32,6,92,learner_question,question,"draft label for human review: question, question/request signal",132419,human_reviewed
75,"is it possible to, so maybe , yeah",33,37,24,6,84,33,37,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",33187,human_reviewed
76,would you go to watch the movie uhh this weekend,56,31,26,10,92,56,31,26,10,92,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",109200,human_reviewed
77,So would you consul ahh could you talk er my er what I sa oh what I'm saying with your er manager,52,39,34,6,84,52,39,34,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",74170,human_reviewed
78,Is that fine,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",138073,human_reviewed
79,how about lunch,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",10117,human_reviewed
80,Is it possible to refund,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",33180,human_reviewed
81,Are there other,43,24,22,6,84,43,24,22,6,84,learner_question,question,"draft label for human review: question, question/request signal",34391,human_reviewed
82,Er but er is this have another color,36,31,24,6,66,36,31,24,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",49753,human_reviewed
83,Do you have do you have some some cars,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",100657,human_reviewed
84,What is the most earliest to arrive arrive in New York,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",104344,human_reviewed
85,May I start again,63,24,32,6,74,63,24,32,6,74,learner_question,question,"draft label for human review: question, question/request signal, polite spoken form",96960,human_reviewed
86,would you like to see action movies,56,39,26,6,92,56,39,26,6,92,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",60702,human_reviewed
87,Do you have a large size jacket,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",24983,human_reviewed
88,Do you have a time now,36,31,24,6,84,36,31,24,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",46133,human_reviewed
89,Do you have any plans,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",1758,human_reviewed
90,How about uu train,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",45856,human_reviewed
91,er could you give me a information about ah very popular place,46,43,34,6,66,46,43,34,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",92548,human_reviewed
92,Er did you have already finished to cele a to prepare,36,31,24,6,66,36,31,24,6,66,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",859,human_reviewed
93,Is it all right,36,27,22,6,84,36,27,22,6,84,learner_question,question,"draft label for human review: question, question/request signal, learner disfluency/repair",71474,human_reviewed
94,Please show me the white color of this type,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",119556,human_reviewed
95,Please er transfer my message to the personnel,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",106714,human_reviewed
96,"So when you have another occasion, please just let me know",75,35,40,6,74,75,35,40,6,74,learner_request,polite_request,"draft label for human review: polite_request, question/request signal, polite spoken form, personal or direct-address speech, learner disfluency/repair",128631,human_reviewed
97,"Yes, one ticket, please",79,26,30,6,56,79,26,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",89066,human_reviewed
98,"I erm please tell me hm I can I can buy ticket er er sorry, where I can buy ticket",81,35,40,6,56,81,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",4341,human_reviewed
99,Please repeat it,75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",98339,human_reviewed
100,"So, if you are O K, please see the movie",72,37,32,10,56,72,37,32,10,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",223,human_reviewed
101,"find some nice restaurant, so please",75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",4165,human_reviewed
102,"So uh please, if if you have next if you have another party, please invite me",72,37,40,10,56,72,37,40,10,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",34638,human_reviewed
103,please give me lower ticket but express,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",15224,human_reviewed
104,"Sorry, um one more, please",72,29,30,6,56,72,29,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",53234,human_reviewed
105,"clerk, "" Please wrap them so please wrap that",75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",2995,human_reviewed
106,"So, you know, you you have to please sorry about that",72,37,32,6,56,72,37,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",81891,human_reviewed
107,Mm please tell me three kind of train,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",6572,human_reviewed
108,"And, please don't forget to invite me again",75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",41442,human_reviewed
109,"just brief brief note and say something or ""I'll call you back later, O K, and please",72,33,40,6,56,72,33,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",91704,human_reviewed
110,"But my girl mm my girlfriend said er ""Please",75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",130553,human_reviewed
111,Erm please tell me two type,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",95085,human_reviewed
112,"O once more, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",86331,human_reviewed
113,"So, you please eat the dinner before the before six o'clock",75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",19553,human_reviewed
114,"One ticket, please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",76062,human_reviewed
115,"So, please erm tell me the phone number of everyone",75,35,40,6,56,75,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",94754,human_reviewed
116,"So please do, thank you very much anyway",75,43,32,6,56,75,43,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",26050,human_reviewed
117,Please tell me,75,27,38,6,56,75,27,38,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",62835,human_reviewed
118,So wu would you would you please ask your um manager about this,75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",76612,human_reviewed
119,Please express ticket please,82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",41293,human_reviewed
120,"One one express train, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",88788,human_reviewed
121,Er I'm very er in rush so please give me er up,75,43,40,6,56,75,43,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",82431,human_reviewed
122,"Please wrap it up, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",85090,human_reviewed
123,"mm this one, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",113879,human_reviewed
124,This this time ur next time uum next time ee please come come come my house,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",53314,human_reviewed
125,Then please eeh give me three tickets for us,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",122436,human_reviewed
126,"Non-smoking, please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",97063,human_reviewed
127,"so just lit please price down, just little",75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",113882,human_reviewed
128,"But I really didn't want to leave my child having a temperature So, please erm understand it",75,43,40,6,56,75,43,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",38486,human_reviewed
129,please invite me again,75,27,38,6,56,75,27,38,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",90806,human_reviewed
130,"Just moment, please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",14215,human_reviewed
131,please show me uh a little a little more er a little bigger one,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",96268,human_reviewed
132,"I'd like to could you could you send someone ah to repair the window, please, as soon as possible",78,45,40,6,56,78,45,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",37383,human_reviewed
133,"Er thank yes, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",32441,human_reviewed
134,"Erm please, local ticket",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",119446,human_reviewed
135,Oh but I oh but er please I couldn't,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",125531,human_reviewed
136,please tell the each of prices,75,31,32,6,56,75,31,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",2854,human_reviewed
137,So please tell me about the Japanese society book,75,35,40,6,56,75,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",123566,human_reviewed
138,"One way, please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",114125,human_reviewed
139,And I don't know er what is right ticket to New York So please mm help me,75,35,40,6,56,75,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",21116,human_reviewed
140,"Please please tell me how to er get to the New York station, and how much erm does it cost",81,35,40,6,56,81,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",82845,human_reviewed
141,Oh er one way please,75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",44436,human_reviewed
142,"I want to go to New York ah as soon as f fast, so, please tell me which which ticket er train is the best",78,41,40,6,56,78,41,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",75008,human_reviewed
143,Please tell me three type jacket,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",46763,human_reviewed
144,Oh I like that So um please give me,75,43,40,6,56,75,43,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",59516,human_reviewed
145,Hai er jya please err give me a ticket,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",126556,human_reviewed
146,I know that I I think that you're gonna say this Because but please help me,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",35465,human_reviewed
147,"yeah, please ur invite me again",75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",132805,human_reviewed
148,"Er just a moment, please",75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",43703,human_reviewed
149,"please inform me, urr af ur when you get",75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",18759,human_reviewed
150,Urr would you would you please exchange my ticket to another another new new ticket because er I'm I'm just late for departure,81,35,40,6,56,81,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",14304,human_reviewed
151,"Yes But anyways, yes, please enjoyed yourself",79,30,32,6,56,79,30,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",14833,human_reviewed
152,"So uum uum I said the clerk, uum "" Please uum please give me this one",75,35,40,6,56,75,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",88468,human_reviewed
153,"So but urm if you ever have a party again, please invite me",75,35,40,10,56,75,35,40,10,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",136952,human_reviewed
154,hm please tell me how to go to New York in uh by by train,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",60517,human_reviewed
155,"the pink one , please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",131265,human_reviewed
156,"""But please look at him, he's so cute and very cold",75,43,32,6,56,75,43,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",129305,human_reviewed
157,Please tell please recommend the place,82,28,32,6,56,82,28,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",17172,human_reviewed
158,"Sorry, once more please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",25398,human_reviewed
159,Er please super express train,75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",56971,human_reviewed
160,"Mademoi mademoiselle, urr the most expensive one, please",72,33,32,6,56,72,33,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",11144,human_reviewed
161,"So um but next time, if you have a party, another one, please invite me again",72,37,40,10,56,72,37,40,10,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",139564,human_reviewed
162,Urr urr please tell me where you where you live,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",30671,human_reviewed
163,"So, please please er please recommend some of them",75,35,32,6,56,75,35,32,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",64598,human_reviewed
164,So I know er so I know urr ur so please urr change the dress,75,35,40,6,56,75,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",43038,human_reviewed
165,"Just a moment, please",82,24,30,6,56,82,24,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form",81650,human_reviewed
166,"And mm ur on at that day, I urr umm I asked the clerk to please hmm urr put it put the tie in the good umm bags",81,35,40,6,56,81,35,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",41329,human_reviewed
167,Please er O K,75,27,30,6,56,75,27,30,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, learner disfluency/repair",82009,human_reviewed
168,Uhh please mm tell me the three rates,75,31,40,6,56,75,31,40,6,56,learner_request,polite_request,"draft label for human review: polite_request, polite spoken form, personal or direct-address speech, learner disfluency/repair",117238,human_reviewed
