review_set,review_id,utterance,previous_turn,next_turn,reviewed_Energy,reviewed_Curiosity,reviewer_id,review_status,reviewer_notes
train,train-0015,"Oh, that would be brilliant.",You could s,Yeah. Awesome. Awesome.,,,,pending,
train,train-0016,"Yeah. Good morning, Assistant.",,"Hello, how can I assist you?",,,,pending,
train,train-0017,I hate my dog But I can't come to your party,"Ohh . Yeah. And, you know, what one of my friends is a professional singer, and he came, and we are wait all waiting for you.",Ohh . I see. How is your dog now?,,,,pending,
train,train-0018,"No, you you were fantastic help, thank you.",did you need anything else?,ok. glad to help. take care.,,,,pending,
train,train-0019,erm I don't need to think about er difficult topics when I see the love story,Hm .,Ah I see.,,,,pending,
train,train-0020,and I think that those are things after my research that we definitely wanna try to incorporate.,we talked about the a light emitting thing as well as uh maybe a beep,'Kay can we go to the next slide please?,,,,pending,
train,train-0021,It's very urr fantastic and interesting,Did you like it?,,,,,pending,
train,train-0022,But you definitely get a specific instruction.,Okay.,Okay,,,,pending,
train,train-0023,"That'd be fantastic. Can you please let me know what the total will be, please? I want extra cheese on all four, please.","got it, so 4 small pizzas, 1 chix bbq, 1 meat lovers, 1 supreme, and 1 hawaiin.",Extra cheese on all four.,,,,pending,
train,train-0024,"Nay that that that's true, that's true. They're definitely needed.",But you can't make a remote control without them,we put it on a two?,,,,pending,
train,train-0025,"I just love you tech guys, huh.",Yeah we've all broken a remote control.,You press this and it does th,,,,pending,
train,train-0026,"Oh okay, awesome. Awesome. So I'm going to choose the second restaurant, please.","Okay, and the second restaurant, am just wondering, do they allow pets?",Only in the outdoor area.,,,,pending,
train,train-0027,"I'd say, when it comes to the ergonomics, the form and stuff, yes that's definitely more beautiful than your average.",Mm.,"However the colour, we don't have a say in that.",,,,pending,
train,train-0028,"and, you know, channel selection and volume selection are absolutely essential","so on a scale of one to ten, how important is that","and the power, well it's not quite so essential, apparently",,,,pending,
train,train-0029,Sounds brilliant to me.,Yeah.,"Rubber casing I thing would probably the best, if we're going for the anti-R_S_I_ and like more choice with um aesthetics.",,,,pending,
train,train-0030,How about A Dog's Way Home? Is that playing at the AMC? Bumblebee? That's great.,"I think it's just called Captain Marvel. Oh, you know what? That's not out yet, I'm sorry. Scratch it out. Let me see here.","There is Aquaman, Spider man into the spider verse and bumblebee.",,,,pending,
train,train-0031,so if we were uh definitely gonna go with the the voice option we'd probably have to design um our own chip.,Okay,And that pretty much sums it up.,,,,pending,
train,train-0032,And mm the basically I think it's basically er love story,Mhn .,"Mhn . O K. Thank you very much. Now, I'll show you another picture.",,,,pending,
train,train-0033,"Anyone, just one that's ASAP, the next showing today.",Great and did you have a preferred theater?,I have two showings at 1:30 showing here. I'll try the one at Regal cinemas Binghamton first. How many tickets?,,,,pending,
train,train-0034,"Awesome, can you also tell me how long the movie is?",Great you're all set and you'll get the tickets via mobile.,it's 2h 5m.,,,,pending,
train,train-0035,"So, sorry, I definitely join the next party",Wow . Everybody is waiting for you now.,"Mm-hm . But, what what shall I do with all these presents? This party is for you.",,,,pending,
train,train-0036,Awesome. And how long is the trip?,"Great, your ride is scheduled and will arrive at 9pm.",About 20 minutes.,,,,pending,
train,train-0037,And then otherwise I ha I can't go to the airport So please,Really? We didn't get any report about a accident.,Ah O K. Um O K. I checked it. But it's another railway company.,,,,pending,
train,train-0038,"Awesome, thank you. What is the price?",all set. Your pizzas will be ready for pickup at Bella Luna's soon.,your total is $48.89.,,,,pending,
train,train-0039,and uh the technology that was in that one wasn't particularly amazing,um I've actually seen one of them used,so you end up yelling at the control for hours.,,,,pending,
train,train-0040,Um but have you any idea so far as what uh the user requirements are?,yeah.,No n not specifically.,,,,pending,
train,train-0041,Can I have her,"All right. So lastly, there's another picture. O K. There are six pictures from one to six. And please make up a story based on these six pictures. And please start your story with ""One day last week,"" because this happened before.",O K. All right. Thank you very much.,,,,pending,
train,train-0042,So did you have any recommend bag,Mm-hum .,Oh we have many styles here. It's all recommended for this season .,,,,pending,
train,train-0043,Can I describe another the this picture,. Er are you asking me?,"Ah . If you want, yes.",,,,pending,
train,train-0044,"So, what is the most selling car in this shop",Oh O K. Uh-huh .,"Oh recently, well bestseller car is this one.",,,,pending,
train,train-0045,Does that mean I'm up?,'Kay,yep that's you.,,,,pending,
train,train-0046,Erm And how are you,Good.,"I'm fine, thank you.",,,,pending,
train,train-0047,How do I buy it,The fastest one is the super express train.,Um . I can sell a ticket right here .,,,,pending,
train,train-0048,Do you have a nandakkena denim jacket,"O K. So, May I help you?",Yeah. We do. We have uhh several kinds of jacket.,,,,pending,
train,train-0049,"And do you have another idea that urr if you have some place that you umm you love very much, and you have at you've ever been there",will be eighty thousand yen.,"Uhm personally, I like XXX06 very much.",,,,pending,
train,train-0050,Do you have any kind of express,But it's a local. It's a slow train.,Yes. Express train leaves in fifteen minutes.,,,,pending,
train,train-0051,oh erm do you have do you have sch schedule erm for tomorrow,"Hi, how are you ?",Erm tomorrow is fine.,,,,pending,
train,train-0052,because it will definitely enhance our sales in this ag in this particular age group from uh fifteen to thirty five,So we can emphasise on this point also like,Hmm.,,,,pending,
train,train-0053,What do I miss most about America,Mm-hm . I see. What do you miss most about America?,Uh-huh .,,,,pending,
train,train-0054,Do you have some express,Um . The local train will leave within eight minutes.,Yes.,,,,pending,
train,train-0055,How do I select the present,"I see. All right. Mm . So, er when you buy present for somebody, how do you select the present?",Yes.,,,,pending,
train,train-0056,are particularly bothering you?,Um and is there any questions you have that arised from last meeting that,"Mm um. No, I don't think so.",,,,pending,
train,train-0057,"Yes, did you get the time?",Okay so that's 6 people for 4:30 at Firepie on the 28th right?,4:30 pm.,,,,pending,
train,train-0058,Do you know that,.,Urr .,,,,pending,
train,train-0059,well can you ask anyone any anybody else like er some professionals,What should I do?,"What what do you mean, professional?",,,,pending,
train,train-0060,Do you know Oopa,Mhm-huh .,"Yes, I do.",,,,pending,
train,train-0061,shall we hear from Marketing first?,"three presentations, I've got written here so",Um is it okay if I postpone that til later,,,,pending,
train,train-0062,Do you know Virginia,Mmm .,Uhh . I've never been there. Can you describe what kind of place it is?,,,,pending,
train,train-0063,Do you know Cherokee,Uh-hum .,No.,,,,pending,
train,train-0064,can I bring it back,"O K, right, er yes ma'am, may I help you?",O K. I'm sorry ma'am er but we have a store policy. er We don't accept any returned er goods.,,,,pending,
train,train-0065,What's the average price looking like?,What's the average price looking like?,both of these restaurants are rated at 2 out of 5 stars in terms of price.,,,,pending,
train,train-0066,Oh and do you have any bro brochure for the tour,Yeah. And close to the beach.,"Yes, here you go.",,,,pending,
train,train-0067,What's the average price of this technology then?,if you have some question I didn't answer?,Well,,,,pending,
train,train-0068,do you have any wonderful beach in the in the Pacific Ocean near the Pacific Ocean,We have many wonderful tours.,"Near the Pacific Ocean? Uhm yeah, there are many.",,,,pending,
train,train-0069,Does Basil serve nonalcoholic beverages?,"yes, lers ros has non seafood optoins including pad thai and pad see ew.","yes, basil has non alcoholic beverages including thai iced tea.",,,,pending,
train,train-0070,What do I usually do,"Uhm . O K. All right. O K. So, on weekends, besides going to see Kabukis, what do you usually do?",,,,,pending,
train,train-0071,Is that er discount,It's two thousand five hundred dollars.,"Oh I'm sorry, sir. But I can't give you discount.",,,,pending,
train,train-0072,Are you free on this weekend,"Oh . Hi, XXX01 .",Oh . Sounds great.,,,,pending,
train,train-0073,Okay. Do they have a kid's menu?,"no, they do not have wine, but they do have beer.","yes, they have a small selection for little ones.",,,,pending,
train,train-0074,they didn't come like this?,yeah,this was what it looks like.,,,,pending,
train,train-0075,Did it come out?,Is that working?,Good. Okay.,,,,pending,
train,train-0076,"Okay, great. Is there a third option?",applebee's grill and bar is described as a Full-service chain bar & grill providing hearty American eats in an informal setting.,"i can find one, one moment.",,,,pending,
train,train-0077,What kind of what are the what kind of er urn,O K. Hm .,Oh . Any kinds.,,,,pending,
train,train-0078,What kind of type,with that size .,O K. Ah this this one is ah Brigi Bridgestone and the other one is made in Korea.,,,,pending,
train,train-0079,Ah would you explain what's the difference,"express, and semi-express and local.",The price is different.,,,,pending,
train,train-0080,"Urm nearly fine, but kind of sleepy",Ur how are you this afternoon?,Oh sleepy ?,,,,pending,
train,train-0081,"Great, thank you. Goodbye.",Your total is $24.99 and you'll get your tickets via mobile in a moment.,bye.,,,,pending,
train,train-0082,I think compared to say just pressing buttons.,Well,Yep.,,,,pending,
train,train-0083,Yeah. Fine. Beautiful. Wonderful.,"an Espresso with almond milk, and sugar substitute, like splenda?",great! anything else?,,,,pending,
train,train-0084,and then it go,Go to channel twenty five.,One thing is that as I said in my presentation people really do like to z zap.,,,,pending,
train,train-0085,May I have a question,From number one.,Yeah.,,,,pending,
train,train-0086,But the most important thing is that it looks great,"Yeah, right.","and people say wow, that's real great uh great concept.",,,,pending,
train,train-0087,That's great. Could you please book that for me?,is this ok.,"ok, a reservation for 2 people at matador at 8:30pm.",,,,pending,
train,train-0088,Yeah. That'd be great. There You said there was a four something. How about that one?,"i've searched for that showtime, and unfortunately, it's sold out. did you want one of the later show times instead?",4:35 p.m.,,,,pending,
train,train-0089,"Yes, could I please have five splendors?",Any sugar added?,Not a problem,,,,pending,
train,train-0090,"Yes, that would be great. Thank you.","sure, waterbar restaurant it is. unfortunately, there is no reservation available at 8:00pm on march 9th. did you want me to search for available reservation times for that night?","i see a 6:00pm and 7:30pm reservation available, which works for you?",,,,pending,
train,train-0091,"Okay, great. Thank you.",(deleted),WOnderful! give me moment to get your total.,,,,pending,
train,train-0092,Cool. That's a cool cast.,"sure, that would be lana condor, michelle rodriguez, casper van dien, and christoph waltz.","ah, actually. my apologies. it's actually sold out for that showtime. did u want the next available showtime, which is 11:30am.",,,,pending,
train,train-0093,I'm doing great. How about yourself?,"Hi, how are you today?","Great! thanks, how can I help you?",,,,pending,
train,train-0094,"Chris Dowling Okay, cool.",chris dowling is the director of this movie.,"ok, i'll book that ticket, one moment.",,,,pending,
train,train-0095,"It seems also like with the speech recognition, yeah, it's a great feature",so that uh you have enough uh juice to do all these fancy things.,"but if you're watching T_V_, there's a lot of ambient sound",,,,pending,
train,train-0096,Feel like feel like feel like fallingly falling in love,Uhh .,Right.,,,,pending,
train,train-0097,Great. How long is the trip?,Got it. your driver will arrive at 9pm and notify you via mobile when they're on their way.,10 minutes.,,,,pending,
train,train-0098,"Uhm Before that, I really hate hated",Uhmm .,,,,,pending,
train,train-0099,No. Can you hear me?,can you speak up?,Yes.,,,,pending,
train,train-0100,"Traffic is so terrible, I think",,"So while you are driving in XXX03 , what kind of things are you careful about?",,,,pending,
train,train-0101,Can you give me an overview of the reviews of the restaurant? Are they mostly positive?,"according to google, it is a bit busy at this time and is also busy around 7 to 8pm.","yes, cafe bastille has a 4.4 star rating and over 250 reviews.",,,,pending,
train,train-0102,"Tim, can you start?",So uh,Okay.,,,,pending,
train,train-0103,"uhm I'm looking forward to seeing er er ""Wednesday Love Affair""",Uhmm .,Uhmm .,,,,pending,
train,train-0104,See you on Sunday,"Me, too. Thank you very much for calling. So see you on Sunday .",Uh-huh . Bye-bye.,,,,pending,
train,train-0105,Why are you looking at me?,"and while you're doing that tell us your name, what your role is and perhaps how your animal relates to the role that you're taking in this project.",Would you like to go first?,,,,pending,
train,train-0106,And and this that makes um my parents angry,Um uh tell me about yourself.,Er I see . So what do you think about it?,,,,pending,
train,train-0107,"And this person who was, er driving the motorcycle, he was quite angry because he was really having a really nice conversation with his girlfriend",O K?,O K. Thank you very much. O K. So the cellphone has see er seems to be the cause of this accident.,,,,pending,
train,train-0108,we definitely know that um it's gonna be a simple buttons,Mm.,"we're not gonna be going for the new technological chip on print expensive things, so we've we're keeping the costs down.",,,,pending,
train,train-0109,"Excellent. How are the reviews for Buca di Beppo, is it generally positive?","yes, they are. they also have a children's menu.","the reviews are positive, with a 4.1 star rating, and 1014 reviews on google.",,,,pending,
train,train-0110,I'm great. How are you?,Hi how are you today?,Great thanks.,,,,pending,
train,train-0111,What options do you have?,"ok, which mall is that?",you can book a ride from any mall.,,,,pending,
train,train-0112,and if you disable speech recognition system then?,Okay,W w I'll I'll come to that point later on.,,,,pending,
train,train-0113,they are very excited and that that attitude was very different from Japanese people,O K.,Oh I see. O K. Do you want to live there some day in the future?,,,,pending,
train,train-0114,Well do you know some err windows company or fixing company or anything,What should I do?,"Yeah, but it's too late.",,,,pending,
train,train-0115,What is the other chip for? The one on top.,This.,The one on top is for the um well the functionali the functionalities,,,,pending,
train,train-0116,"Wow sushi, I love it",and I ordered one hundred very good sushi.,Hmm . What shall I do with those?,,,,pending,
train,train-0117,How much er each each other,Um . O K. We have two kinds. This one and this one.,Um . O K. This one is er thirty-one thousand yen. And this one is twenty-three thousand yen.,,,,pending,
train,train-0118,Er do you know,Oh O K. Where do you live?,Not really. What kind of place is XXX03 ?,,,,pending,
train,train-0119,"Because mm dog is really loyal to any other human beings On the other hand, cat is not","O K. Thank you. Erm . First thing, hum I'd like you to describe this picture for me.",Hum . O K. Thank you very much .,,,,pending,
train,train-0120,It doesn't really matter.,(deleted),is regular milk ok?,,,,pending,
